"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue May 05 16:15:26 CDT 2020","Tue May 05 16:18:08 CDT 2020","161989","","Adding Tasks","","Adding Tasks","Adding 10 tasks","Adding 10 tasks",""
"passed","Tue May 05 16:15:46 CDT 2020","Tue May 05 16:15:51 CDT 2020","5191","","login form","","login form","Negative TC - Empty Pwd","Negative TC - Empty Pwd",""
"passed","Tue May 05 16:14:13 CDT 2020","Tue May 05 16:15:26 CDT 2020","73103","","Adding Tasks","","Adding Tasks","Adding the first task","Adding the first task",""
"passed","Tue May 05 16:14:32 CDT 2020","Tue May 05 16:15:33 CDT 2020","61516","","login form","","login form","Positive TC - Login Successful","Positive TC - Login Successful",""
"passed","Tue May 05 16:15:33 CDT 2020","Tue May 05 16:15:39 CDT 2020","6290","","login form","","login form","Negative TC - Invalid email","Negative TC - Invalid email",""
"passed","Tue May 05 16:15:39 CDT 2020","Tue May 05 16:15:46 CDT 2020","6227","","login form","","login form","Negative TC - Wrong Pwd","Negative TC - Wrong Pwd",""
